title                                             ,artist                   ,track ,year  ,band           ,discs ,sourceurl                                   ,disc ,album                         ,originalartist   ,comment                                                                      ,tracks ,originallyricist ,discsubtitle                                    ,composer                      ,lyricist                     ,genres
The Goof Off                                      ,Pinkie Pie               ,    10,S2014 ,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,oundtrack
The Rappin' History of the Wonderbolts            ,Pinkie Pie               ,    18,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,William Anderson              ,Amy Keating Rogers           ,Soundtrack
You'll Play Your Part                             ,Twilight Sparkle         ,    19,  2014,My Little Pony ,     9,                                            ,    4,Friendship is Magic           ,                 ,                                                                             ,     20,                 ,Season 4                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
"Equestria, the Land I Love (Reprise)"            ,Coloratura               ,    18,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
"Equestria, the Land I Love"                      ,Coloratura               ,    15,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Friends Are Always There For You                  ,Starlight Glimmer        ,    19,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Josh Haber                   ,Soundtrack
I'll Fly                                          ,Rainbow Dash             ,    04,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
In Our Town                                       ,Starlight Glimmer        ,    01,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Light of Your Cutie Mark                          ,Cutie Mark Crusaders     ,    12,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Make This Castle a Home (Reprise)                 ,Applejack                ,    03,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Make This Castle a Home                           ,Rainbow Dash             ,    02,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
Rules of Rarity (Reprise 2)                       ,Rarity                   ,    07,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Rules of Rarity (Reprise)                         ,Rarity                   ,    06,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Rules of Rarity                                   ,Rarity                   ,    05,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
Sisterhood                                        ,Apple Bloom              ,    08,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
The Magic Inside                                  ,Coloratura               ,    17,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Amy Keating Rogers           ,Soundtrack
The Pony I Want to Be (Reprise)                   ,Diamond Tiara            ,    13,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
The Pony I Want to Be                             ,Diamond Tiara            ,    11,  2015,My Little Pony ,     9,                                            ,    5,Friendship is Magic           ,                 ,                                                                             ,     19,                 ,Season 5                                        ,Daniel Ingram                 ,Daniel Ingram                ,Soundtrack
